job_name,job_type,company_name,job_location,job_date,num_of_people,experience_needed,career_level,education_level,gender,salary,job_categories,skills_and_tools,job_description,job_requirements,key_job
Senior Developer,['Full_Time'],OdooTec,Cairo Egypt,Posted 7 days ago,15,3_To_5_Years,Experienced_(Non-Manager),Not_Specified,male and female,Confidential,['IT/Software Development'],"['Computer_Science', 'CSS', 'Information_Technology_(IT)', 'Software_Development', 'C#', 'Python', 'Software_Engineering', 'Programming']","['The candidate will demonstrate proficiency in both front-end and back-end development.', 'Prioritize reusability, testability, and efficiency in writing code.', 'Produce efficient back-end features.', 'Manage and fix testing and bugs.', 'Capable of preparing technical documentation.', 'Collaborate with other team members.', 'Carry out software enhancements and cultivate improvements.', 'Identify requirements and propose reasonable alternative solutions to client requirements.']","['The candidate must have created a range of apps, preferably using Python, C#, or equivalent.', 'Experience with design patterns is a must.', 'Front-end and Back-end programming experience.', 'Must have a perfect understanding of object-oriented programming.', 'Knowledge of functional programming.', 'Must understand JavaScript, HTML, CSS, etc.', 'Maintain MVC architectural patterns.', 'Handy with Git protocol.', 'Prior contribution to open-source projects is a plus.', 'A deep understanding of various software licenses and their differences is a plus.', 'Odoo experience is an advantage.']",unknown
JavaScript Team Leader,['Full_Time'],Nagwa,Nasr City Cairo Egypt,Posted 23 days ago,10,More_Than_4_Years,Manager,Not_Specified,male and female,Confidential,"['IT/Software Development', 'Engineering - Telecom/Technology']","['AWS', 'Computer_Science', 'CSS', 'Development', 'Engineering', 'HTML', 'JavaScript', 'React.js', 'Azure', 'Typescript', 'Next.js']","['Summary', 'We are looking to hire a JavaScript Team Leader to join us in our mission to educate the world. The successful candidate shall be responsible for managing the JavaScript Team and taking the lead on various projects related to front-end development and web applications.', 'Responsibilities', 'Lead and manage a team of JavaScript developers, providing guidance and support to ensure successful project delivery', 'Collaborate with stakeholders to understand project requirements and translate them into technical solutions', 'Mentor and coach team members, fostering their professional growth and development through competitive benchmarking', 'Oversee and assign responsibilities to different team members', 'Operate and revise the testing methods for the designs with a user-centered approach to ensure that our content is usable and well received', 'Conduct design and cross-browser testing, detecting any problems and devising elegant solutions', 'Maintain efficient and reusable codes through extensive experience with HTML, CSS, and JavaScript', 'Ensure that projects are delivered on time and meet the required quality standards', 'Stay up to date with the latest front-end technologies and industry trends', 'Ensure flexibility and adaptability in transitioning between different tools and technologies as needed to meet project requirements']","['Qualifications and Work Experience', ""Bachelor's degree in computer science, engineering, or any relevant field"", 'Minimum of 4 years of relevant experience in front-end development', 'Excellent command of both written and spoken English', 'Extensive experience with HTML, CSS, and JavaScript', 'Familiarity with cloud platforms, such as AWS or Azure', 'Familiarity with Next.js, React.js, and TypeScript', 'Experience in desktop app development using Electron framework is a plus', 'Previous leadership experience is a must', 'Strong problem-solving and analytical skills', 'Excellent communication and interpersonal skills']",unknown
Solutions Architecture Engineer,['Full_Time'],Khales,Giza Egypt,Posted 20 days ago,6,2_To_3_Years,Experienced_(Non-Manager),Not_Specified,male and female,Confidential,"['Creative/Design/Art', 'IT/Software Development', 'Engineering - Telecom/Technology']","['UML_Modeling', 'Microsoft_Visio', 'use_cases', 'Software_Development']","['Purpose:', 'Design or modify systems architecture to meet certain business needs. They test, integrate, and program software systems to ensure that specific business issues are solved.', 'Responsibilities & Accountabilities:', 'Client facing and stakeholders engagement.', 'Gathering, validating, and documenting requirements.', 'Doing the required gap analysis if needed.', 'Carrying out in-depth evaluation and verification of the solution capabilities.', 'Maintaining and verifying the requirements specifications according to the baseline.', 'Writing software specifications', 'Effectively writing, documenting requirements and specifications of the solution and / or integration.', 'Supervising requirements traceability and recording the status of the requirements through the solution life cycle.', 'Modeling solution architecture, designing, and developing solution and application prototype.', 'Developing the prove of concept, enforcing the stockholders and managing their expectations.', 'Work closely with the stakeholders/ clients to identify customer requirements and come up with valuable solutions to meet them for the optimum benefit and satisfaction of the customers.', 'Effectively modeling and documenting business processes and solution designs.', 'Collaborating with business and commercial leads and the team to design alternative valuable solutions, evaluate them, and choose the better one.', 'Technically leading development and implementation teams.', 'Liaises between all stakeholders and technical teams as a solution owner.', 'Supervising the implementation and aligning all stakeholders and technical teams to stand for the designed solution (Solution Implementation Alignment)', 'Support the QC team to review and confirm the testing scenarios according to the solution design.', 'Conduct kickoff meeting to explain and deliver the solution to the technical implementation team (Dev, QC, Ops, Data warehouse, and Network Teams).', 'Assesses and analyzes business and / or solution implications that may be involved and doing necessary impact analysis.', 'Study current business processes and implemented solutions and define new targeted process and solutions and documenting the gap.', 'Participate in the onboarding life cycle of new service and/ or partner according to eKhales’s onboarding process.', 'Using standard templates of eKhales Business Solution and help in improving their processes, templates and artifacts.', 'Expected to carry out the instructions as directed by the business leads and chief architect.', 'Keeping process improvements and lesson learned in practice.']","['Qualifications:', 'Education', 'Bachelor’s Degree in computers and information, or in any relevant field', 'Experience', 'At least 2 years of experience in a related position', 'Experience in business analysis and solution design', 'Understanding object-oriented Analysis, design, and development', 'Experience in programming and software development using OOP.', 'Experience in modeling, UML, BPMN, Use case, ERD,…', 'Experience in UI design and Understanding the UX (Front-End Design (Web, Mobile))', 'Understanding software development life cycle (SDLC)']",unknown
Senior Frontend Developer,"['Full_Time', 'Work_From_Home']",TAB ERP Solutions,Cairo Egypt,Posted 11 days ago,60,5_To_20_Years,Experienced_(Non-Manager),Not_Specified,male and female,Confidential,['IT/Software Development'],"['CSS', 'HTML5', 'JavaScript', 'Angular', 'Software_Development']","['We are looking for highly skilled and passionate Front-End Developers at different experience levels (Senior) to collaborate with our cross-functional teams and contribute to the development of our next-generation web applications and digital experiences. The ideal candidates should have a strong background in front-end technologies, an eye for design, and the ability to create responsive and visually appealing interfaces']","['Work experience as a Senior Angular  Developer', 'Responsibilities', 'Lead and guide the front-end development team, providing technical expertise and mentorship.', 'Design and implement complex and efficient web applications, adhering to industry best practices.', 'Collaborate closely with UX/UI designers and back-end developers to create seamless user experiences.', 'Analyze and optimize application performance for a smooth user experience across various devices and browsers.', 'Contribute to architectural decisions and help shape the technology roadmap for the front-end', 'Qualifications', ""Bachelor's degree in Computer Science, Software Engineering, or a related field (or equivalent experience)."", 'Proficient understanding of front-end web technologies such as HTML5, CSS3, JavaScript (ES6+), and related frameworks like React, Angular, or Vue.js.', 'Experience with responsive design and mobile-first development', 'Strong problem-solving skills and ability to work in a fast-paced and dynamic environment.', 'Excellent communication and teamwork skills for effective collaboration.', '\u2066Additional experience in front-end performance optimization and cross-browser compatibility.', 'Knowledge of front-end build tools like Webpack, Grunt, or Gulp.', 'Familiarity with CSS preprocessors (e.g., SASS, LESS) and modern CSS frameworks (e.g., Bootstrap).', 'Previous experience in leading a front-end development team and managing projects.']",front end
.NET Full Stack Developer,['Full_Time'],PING,Maadi Cairo Egypt,Posted 10 days ago,89,3_To_15_Years,Experienced_(Non-Manager),Not_Specified,male and female,Confidential,['IT/Software Development'],"['Computer_Science', 'Angular', 'HTML', 'Full_Stack', 'Information_Technology_(IT)']","['Work with development teams and product managers to ideate software solutions', 'Design client-side and server-side architecture', 'Build the front-end of applications through appealing visual design', 'Develop and manage well-functioning databases and applications', 'Write effective APIs', 'Test software to ensure responsiveness and efficiency', 'Troubleshoot, debug and upgrade software', 'Create security and data protection settings', 'Build features and applications with a mobile responsive design', 'Write technical documentation', 'Work with data scientists and analysts to improve software']","['Proven experience as a Full Stack Developer or similar role', 'Experience developing desktop and mobile applications', 'Familiarity with common stacks', 'Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery)', 'Knowledge of multiple back-end languages (e.g. C#, Java, Python) and JavaScript frameworks (e.g. Angular, React, Node.js)', 'Familiarity with databases (e.g. MySQL, MongoDB), web servers (e.g. Apache) and UI/UX design', 'Excellent communication and teamwork skills', 'Great attention to detail', 'Organizational skills', 'An analytical mind', 'Degree in Computer Science, Statistics or relevant field']",unknown
web forms developer,['Full_Time'],Informatique Education,Nasr City Cairo Egypt,Posted 1 month ago,27,5_To_10_Years,Experienced_(Non-Manager),Bachelor'S_Degree,male and female,Confidential,"['IT/Software Development', 'Operations/Management', 'Engineering - Telecom/Technology']","['ASP.Net', '.Net', 'Software_Development', 'Web_Development', 'Information_Technology_(IT)', 'HTML', 'Computer_Science', 'Programming']","[""We are seeking a talented and detail-oriented Web Form Developer to join our dynamic development team. The ideal candidate will have a strong background in web development, with a focus on creating efficient and user-friendly web forms. As a Web Form Developer, you will play a crucial role in designing, developing, and maintaining web forms that enhance the user experience and support our organization's objectives."", 'Web Form Development:  Design and develop responsive and intuitive web forms using HTML, CSS, and JavaScript. Ensure cross-browser compatibility and optimal performance.', 'User Interface (UI) Design: Collaborate with UX/UI designers to implement visually appealing and user-friendly interfaces. Optimize the user interface for seamless navigation and interaction.', 'Integration with Back-End Systems: Work closely with back-end developers to integrate web forms with server-side technologies. Ensure data accuracy and integrity through effective form submissions.', 'Data Validation and Security: Implement robust data validation mechanisms to ensure accurate and secure data input. Address potential security vulnerabilities in web forms.', 'Mobile Optimization: Optimize web forms for mobile devices to provide a consistent user experience across various platforms. Implement responsive design principles.', 'Collaboration: Collaborate with cross-functional teams, including designers and back-end developers, to ensure seamless integration of web forms within the overall application architecture.', 'Testing and Debugging: Conduct thorough testing of web forms to identify and resolve any bugs or issues. Perform debugging and troubleshooting as needed.', 'Documentation: Create and maintain technical documentation related to web forms, including code documentation and usage guidelines. Keep documentation up-to-date with any changes or enhancements.']","[""Bachelor's or Master's degree in Computer Science, Software Engineering, or a related field."", 'Proven experience (5 years) as a Web Form Developer or in a similar role.', 'Proficiency in HTML, CSS, JavaScript, and related front-end technologies.', 'Experience with responsive design and mobile optimization.', 'Strong problem-solving and analytical skills.']",unknown
Wordpress Developer,['Full_Time'],AFFSQUARE,Sheraton Cairo Egypt,Posted 24 days ago,24,2_To_5_Years,Experienced_(Non-Manager),Bachelor'S_Degree,male and female,"Confidential,","['IT/Software Development', 'Project/Program Management', 'Engineering - Telecom/Technology']","['PHP', 'JavaScript', 'Software_Development', 'Software_Engineering', 'Web_Development', 'Information_Technology_(IT)', 'WordPress_Development', 'WordPress', 'WordPress_CMS', 'Computer_Science', 'CSS3', 'Git', 'HTML5', 'Software', 'jQuery']","[""Design and manage the website's Front End and Back End, including database and server integration."", ""Establish and guide the website's architecture."", 'Perform hands-on development, testing, debugging, and ongoing maintenance of new and existing code.', 'Ensure high performance and availability, and manage all technical aspects of the CMS.', 'Help formulate an effective, responsive design and turn it into a working theme and plugin.', 'Solve technical challenges for new features.', 'Lead and Work closely with our team to develop and maintain our WordPress theme framework.', 'Write clean, maintainable, and efficient code.', 'Troubleshoot, debug, and optimize code as needed', 'Participate in code reviews and provide feedback to other developers.', 'Collaborate with designers to ensure front-end development meets design requirements.', 'Continuously learn and stay up-to-date with the latest technologies and industry trends.']","[""2+ years' of experience in web development and software design (CODING, not only drag/drop)."", 'Strong knowledge of PHP, WordPress, and front-end development.', 'Experience with developing custom WordPress themes and plugins.', 'Strong understanding of front-end technologies, including HTML5, CSS3, JavaScript, and jQuery.', 'Familiarity with versioning tools such as Git, SVN, and CVS.', 'Experience with Agile development methodologies.', 'Strong problem-solving and analytical skills.', 'Ability to lead and mentor junior developers.', 'Availability to work full-time onsite.']",unknown
Backend Developer (Php),['Full_Time'],Triple,Haram Giza Egypt,Posted 14 days ago,89,2_To_4_Years,Experienced_(Non-Manager),Not_Specified,male and female,Confidential,['IT/Software Development'],"['Backend_developer', 'backend', 'PHP']","['Analyzing website and application requirements.', 'Writing back-end code and building efficient PHP modules.', 'Developing back-end portals with an optimized database.', 'Troubleshooting application and code issues.', 'Integrating data storage solutions.', 'Responding to integration requests from front-end developers.', 'Finalizing back-end features and testing web applications.', 'Updating and altering application features to enhance performance.']",[],unknown
PHP and Flutter Developer,['Full_Time'],Orbit tech.,Cairo Egypt,Posted 19 days ago,49,3_To_5_Years,Experienced_(Non-Manager),Not_Specified,male and female,8000,"['Installation/Maintenance/Repair', 'IT/Software Development', 'Engineering - Other']","['Engineering', 'Laravel', 'PHP', 'flutter']","['About The Job:', ""We are seeking a skilled and experienced PHP and Flutter Developer to join our dynamic team. As a PHP and Flutter Developer, you will be responsible for developing, testing, and maintaining robust and efficient web and mobile applications. You will collaborate with cross-functional teams to design and implement innovative solutions that meet our clients' needs."", 'Job Responsibilities:', 'Develop, test, and maintain high-quality PHP and Flutter applications.', 'Collaborate with cross-functional teams to define, design, and deploy new features.', 'Troubleshoot, debug, and optimize code to ensure optimal performance and user experience.', 'Stay up-to-date with the latest trends and technologies in PHP and Flutter development.']","['Job Requirements:', 'Proven experience as a PHP Developer with strong knowledge of PHP web frameworks (e.g., Laravel, CodeIgniter).', 'Proficient in Flutter framework for mobile application development.', 'Solid understanding of object-oriented programming and MVC design patterns.', 'Experience with relational databases such as MySQL, PostgreSQL.', 'Familiarity with front-end technologies (HTML, CSS, JavaScript).', 'Strong problem-solving skills and attention to detail.', 'Excellent communication and teamwork skills.', 'Ability to work independently and efficiently manage time.', ""Bachelor's degree in Computer Science, Software Engineering, or a related field.""]",unknown
Wordpress Developer,['Full_Time'],Algoriza,Giza Egypt,Posted 24 days ago,27,4_To_6_Years,Experienced_(Non-Manager),Not_Specified,male and female,Confidential,['IT/Software Development'],"['JavaScript', 'MySQL', 'jQuery', 'Information_Technology_(IT)', 'HTML5']","['Collaborate with the design team to implement website designs into WordPress.', 'Develop custom themes and plugins to enhance website functionality.', 'Ensure the website is responsive and compatible with various devices and browsers.', 'Write clean, well-documented, and efficient code.', 'Conduct regular code reviews to maintain code quality.', 'Optimize website performance, ensuring fast page load times.', 'Identify and resolve issues related to website functionality, performance, and security.', 'Conduct thorough testing to detect and fix bugs.', 'Work closely with cross-functional teams, including designers and other developers, to achieve project goals.', 'Communicate effectively with clients to understand their requirements and provide technical solutions.', 'Set up and manage content using WordPress CMS.', 'Train clients on content management and provide ongoing support.', 'Implement security best practices to safeguard websites against vulnerabilities.', 'Stay informed about the latest security threats and implement necessary measures.', 'Ensure all WordPress installations are up to date.', 'Perform regular maintenance tasks and updates to keep websites current.', 'Customize existing themes and plugins as needed to meet project requirements.', 'Develop and implement new features based on client needs.']","['Bachelor’s degree in Computer Science, IT, or a related field.', 'Proven experience as a WordPress Developer with a minimum of 4 years of relevant work experience.', 'Strong proficiency in PHP, HTML5, CSS3, JavaScript, and jQuery.', 'Experience with front-end development frameworks (e.g., Bootstrap) and responsive design principles.', 'Knowledge of MySQL and database management.', 'Familiarity with web standards, performance optimization, and SEO best practices.', 'Ability to work independently and as part of a team.', 'Excellent communication and problem-solving skills.']",unknown
Branch Manager (Software house),['Full_Time'],Confidential,Heliopolis Cairo Egypt,Posted 15 days ago,16,More_Than_10_Years,"Senior_Management_(CEO,_GM,_Director,_Head)",Bachelor'S_Degree,male and female,Confidential,['IT/Software Development'],"['Branch_Management', 'Project_Management', 'JavaScript', 'Operations_Management']","['Kindly Read Carefully…..', '-Manage employees and lead day-to-day responsibilities.', '-Recruit and interview new employees.', '-Work to grow business quality.', ""-Preparing a proposal for the management's strategic and operational plan, developing performance indicators for work, and working to achieve them."", '-Monitoring administrative processes such as planning, budgeting, reporting, and service delivery, and their control, evaluation, and improvement.', ""-Managing the department's organizational units, monitoring their performance, and preparing reports to prevent duplication of goals and tasks between them."", '-Strengthening relationships with external partners to establish strategic partnerships. Develop, motivate internal partners, and manage change to ensure', 'efficiency and effectiveness.', '-Leading, directing, reviewing and approving work procedures and methods, performance indicators, and quality of management operations, and developing the necessary proposals to improve work and submitting them to higher management for approval and action.', '-Develop internal plans to develop a culture of team building, and continuous learning to ensure that work is delivered of the highest quality.', '-Periodic follow-up of performance indicators, review of achievement rates, evaluation of the performance of management staff, and preparation of the annual report of the company and submission to senior management.', '-Providing the necessary support to the direct manager, and performing any other tasks assigned to him.']","['Kindly Read Carefully…..', 'Experience in managing IT solutions companies', '-Previous experience in technical project management', '-Knowledge in the following programming languages (PHP (LARAVEL FRAMEWORK), python, Front end (html,css,javascript,vue.js,angular)) ( Mandatory )', '-The daily, monthly and annual evaluation of the decisions related to the management of the branch at the level of the companies and their organizational', 'units.', '-Supervising the implementation of the latest applications and systems in the work environment.', '-Multitask and have excellent time management skills', '-Mentor junior employees and lead a team', '-Show creative problem-solving', '-Show strong attention to detail']",unknown
Software Developer,['Full_Time'],Misr Elkheir Foundation,Mokattam Cairo Egypt,Posted 1 month ago,177,1_To_2_Years,Entry_Level_(Junior_Level_/_Fresh_Grad),Bachelor'S_Degree,Males,Confidential,"['IT/Software Development', 'Engineering - Telecom/Technology']","['PHP', 'HTML', 'Software_Engineering', 'Software_Development', 'jQuery', 'HTML5', 'CSS3', 'Information_Technology_(IT)', 'Computer_Science', 'CSS', 'JavaScript', 'MySQL']","['Writing well designed, testable, efficient code by using best software development practices', 'Creating system layout/user interfaces by using standard HTML/CSS practices', 'Integrating data from various back-end services and databases', 'Gather and refine specifications and requirements based on technical needs', 'Be responsible for maintaining, expanding, and scaling our system', 'Develop and implement back-end web code and design standards and writing clean, semantic code.', 'Writing clean, fast PHP to a high standard, in a timely and scalable way.', 'Troubleshooting, testing and maintaining the core product software and databases.']","['BS/MS degree in Computer Science or Engineering', 'Very good experience in PHP, MySQL, jQuery, OOP, HTML, CSS, AJAX', 'Very good experience of PHP web frameworks including Laravel, and CodeIgniter is plus', 'Fair front-end experience with HTML5, CSS3 [+ Bootstrap framework], Javascript [+ jQuery framework]', 'Strong understanding of PHP back-end development', 'Building services and APIs (REST, SOAP is a plus) and integrating with external systems is plus']",unknown
Full stack .NET/Angular,"['Full_Time', 'Work_From_Home']",3i Vision LTD.,Hadayek Alahram Giza Egypt,Posted 8 days ago,137,2_To_4_Years,Experienced_(Non-Manager),Not_Specified,male and female,Confidential,['IT/Software Development'],"['Agile', 'ASP.Net', '.Net', 'Angular', 'Computer_Science', 'Information_Technology_(IT)', 'SQL', 'Software_Development', 'JavaScript', 'Docker', 'tfs']","['Implement technical tasks using Microsoft C#, Microsoft API', 'Developing front end using MVC', 'Fix technical Bugs', 'Participate in Solving support cases', 'Participate in Scrum Activities', 'Participate in technical design and code review.', 'Share knowledge with team members about technical best practices', 'Research, evaluate new technologies']","['Agile Mindset', 'Team Spirit and strong communication skills', '2:4 years of experience as .Net developer.', 'Excellent knowledge in implementing ASP.NET MVC', 'Excellent Knowledge in JavaScript, Angular', 'Experience in Entity framework', 'Micro services / Docker Proven Experience', 'Experience with MS SQL Server (stored procedure, triggers, MS SQL Jobs)', 'Expert in writing secure, clean, scalable code using .NET programming languages', 'Knowledge of Micro service architecture is a great plus', 'Familiar with Scrum and TFS.']",unknown
Senior iOS Developer,['Full_Time'],Sarmady,Mohandessin Giza Egypt,Posted 1 month ago,71,More_Than_3_Years,Experienced_(Non-Manager),Bachelor'S_Degree,male and female,Confidential,"['IT/Software Development', 'Engineering - Telecom/Technology']","['iOS', 'Software_Development', 'REST', 'JSON', 'Objective-C', 'Information_Technology_(IT)', 'Engineering', 'Swift', 'C', 'App_Store', 'Mobile_Development', 'Core_Touch', 'Telecommunication', 'Computer_Science', 'APIs']","['The primary focus will be on our internal applications specific to business needs.', 'Contribute to the entirety of our front-end software stack including UI design.', 'Implement new feature sets, and support current technologies.']","['BS/MS degree in Computer Science, Engineering or a related subject', 'Guru in Swift, C, Objective-C, Core Services, Core Touch frameworks, object-oriented development skills.', 'Experience in working with remote data via REST and JSON.', 'Experience with third-party libraries and APIs.', 'Good knowledge of the general mobile landscape, architectures, trends and emerging technologies.', 'Good knowledge of iOS design patterns as well as Apple’s Human Interface Guidelines.', 'Solid understanding of the full mobile development life cycle.', 'Solid understanding of networking protocols, TCP/IP and Sockets.', 'Excellent knowledge and experience with UI responsiveness and app performance.', 'Passion for designing and implementing outstanding user interfaces and customer experience.', 'Up to speed with the latest iOS version changes, features and requirements.', 'Experience with Swift is a plus.', 'Experience with integrating 3rd party open source libraries.']",unknown
PHP and Flutter,['Full_Time'],HOMEi,6th of October Giza Egypt,Posted 14 days ago,40,2_To_5_Years,Experienced_(Non-Manager),Not_Specified,male and female,8000,['IT/Software Development'],"['Development', 'flutter', 'Laravel', 'JavaScript', 'PHP']","['•\u2060  \u2060Develop, test, and maintain high-quality PHP and Flutter applications.', '•\u2060  \u2060Collaborate with cross-functional teams to define, design, and deploy new features.', '•\u2060  \u2060Troubleshoot, debug, and optimize code to ensure optimal performance and user experience.', '•\u2060  \u2060Stay up-to-date with the latest trends and technologies in PHP and Flutter development.']","['•\u2060  \u2060Have experience 3 to 6 years developing with PHP.', '•\u2060  \u2060Strong experience as a PHP Developer with strong knowledge of Laravel.', '•\u2060  \u2060Proficient in Flutter framework for mobile application development and deploying on Google Play, and App Store.', '•\u2060  \u2060Solid understanding of secured API Rest requests', '•\u2060  \u2060Solid understanding of object-oriented programming and MVC design patterns.', '•\u2060  \u2060Experience with relational databases and queries optimization.', '•\u2060  \u2060Familiarity with front-end technologies (HTML, CSS, JavaScript).', '•\u2060  \u2060Strong problem-solving skills and attention to detail.', '•\u2060  \u2060Excellent communication and teamwork skills.', '•\u2060  \u2060Ability to work independently and efficiently manage time.', '•\u2060  \u2060Degree in Computer Science, Software Engineering, or a related field.']",unknown
Full Stack Developer,['Full_Time'],Smartad egypt,Cairo Egypt,Posted 21 days ago,57,2_To_9_Years,Experienced_(Non-Manager),Not_Specified,male and female,7000,['IT/Software Development'],"['PHP', 'JavaScript', 'Laravel', 'CodeIgniter', 'Angular', 'Vue.js']","['We are seeking a skilled PHP, Laravel, and JavaScript developer to join our team. As a developer, you will be responsible for designing, developing, and maintaining web applications using PHP, Laravel framework, and JavaScript. You will work closely with the project manager, designers, and other developers to ensure the successful delivery of high-quality software solutions.']","['Solid experience in PHP development, with a strong understanding of object-oriented programming (OOP) concepts.', 'Proficiency in Laravel framework and its ecosystem, including experience with building RESTful APIs, working with databases, and implementing authentication and authorization mechanisms.', 'Strong knowledge of JavaScript, including proficiency in front-end frameworks such as React, Angular, or Vue.js.', 'Experience with HTML, CSS, and responsive web design.', 'Familiarity with version control systems, such as Git.', 'Understanding of software development life cycle (SDLC) and agile methodologies.', 'Ability to work independently, as well as collaboratively in a team environment.', 'Strong problem-solving and analytical skills.']",unknown
Mid Level Backend Developer{.Net Core},['Full_Time'],RTR Software Solutions,Nasr City Cairo Egypt,Posted 15 days ago,92,3_To_4_Years,Experienced_(Non-Manager),Not_Specified,male and female,Confidential,['IT/Software Development'],"['Computer_Science', 'Microsoft', 'C#', 'Information_Technology_(IT)', 'Software', 'Agile', 'Git', 'Communication_skills', 'SQL']","['Translate application storyboards and use cases into functional applications.', 'Design, build, and maintain efficient, reusable, and reliable code.', 'Integrate data storage solutions.', 'Identify bottlenecks and bugs, and devise solutions to mitigate and address these issues.', 'Integrate user-facing elements developed by front-end developers with server-side logic.', 'Build reusable code and libraries for future use.', 'Optimize the application for maximum speed and scalability.', 'We are implementing security and data protection.', 'Design and implement data storage solutions.']","['Not less than (3-4 years) of experience as a software engineer. (IS A MUST)', 'Strong knowledge of .NET & .NET Core framework, and C#.', 'Good Experience with third-party integration. (IS A MUST)', 'Familiarity with Microsoft SQL Server and Azure.', 'Familiarity with Agile development methodologies.', 'Proficiency in code versioning tools like GIT.', 'Ability to learn new languages and technologies.', 'Very good in English.', 'Excellent communication skills.', 'BSc/BA in Computer Science or a related field.']",unknown
Full Stack PHP Developer,['Full_Time'],Nrsen,Cairo Egypt,Posted 9 days ago,24,4_To_9_Years,Experienced_(Non-Manager),Not_Specified,male and female,Confidential,['IT/Software Development'],"['Agile', 'Software_Development', 'Laravel', 'PHP', 'WordPress', 'jQuery', 'HTML', 'CSS']","['We are looking for a full-stack specifically PHP/WordPress developer who can build and maintain WP and PHP websites and online markets and customize WP themes and plugins using HTML/CSS/JS/PHP.', 'Responsibilities:', 'Investigate new technologies to be up to date with the new technical knowledge and skills.', 'Develop secure and user-friendly websites in WordPress/ WooCommerce.', 'Establishing and guiding the website’s architecture', 'Developing and providing maintenance support for our websites and online markets', 'Creating responsive website', 'Diagnosing and Troubleshoot current issues, bug fixes, and site improvements', 'Producing high-quality work with a strong focus on detail', 'Participate in the project analysis and estimation with the technical project lead.', 'Deliver clean code for the assigned tasks.', 'Write documentation to aid maintenance and code reuse.']","['Job Requirements', 'BS degree in Computer Science, Engineering, or a related subject', 'Fluent with Native PHP/MySQL, at least +3 years of experience.', 'Strong knowledge of WordPress, at least 2+ years of experience', 'Expert knowledge of WordPress and WooCommerce programming (i.e plugins and extensions from scratch)', '+2 years of experience in Laravel Frame work', 'Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery)', 'Experienced with RESTful APIs and formats (JSON, XML)', 'Strong understanding of responsive web design techniques', 'Understands WP architecture and knows how to perform database and code optimization for WordPress', 'Expert knowledge of HTML/CSS, CSS Preprocessors, and JavaScript/jQuery', 'Excellent English skills', 'Preferred Knowledge', 'Agile Methodology', 'Servers Management', 'Linux & Command Lines']",unknown
Senior Full Stack Developer,"['Full_Time', 'Work_From_Home']",Traveler Club,Cairo Egypt,Posted 23 days ago,39,5_To_8_Years,Experienced_(Non-Manager),Not_Specified,male and female,Confidential,"['IT/Software Development', 'Tourism/Travel', 'Engineering - Telecom/Technology']","['CSS', 'Full_Stack', 'HTML', 'Information_Technology_(IT)']","['• Collaborate with development teams and product managers to brainstorm software solutions.', '• Partner with data scientists and analysts to enhance the software.', '• Engage in the full software development life cycle, debug applications, and adjust existing systems.', '• Evaluate system requirements and rank tasks based on priority.', '• Write neat, verifiable code using .NET programming languages (C#, .NET Core).', '• Examine and troubleshoot various .NET applications.', '• Experience in developing Xamarin for Android and iOS is an added advantage.', '• Having experience in writing Azure Web jobs for Microsoft Azure is an added asset.', '• Inspect and restructure code.', '• Document development processes and operational procedures in a systematically structured format.', '• Proficient in C#, JavaScript, SQL.', '• Skilled in managing remote data via REST or SOAP APIs.', '• In-depth understanding of HTML, CSS, jQuery technologies, and additional web frameworks is', 'advantageous.', '• Experience in creating and maintaining databases.', '• Solid understanding of Object-Oriented Programming and Design Patterns.', '• Compulsory to write unit tests for different sections of the code.', '• Customer-focused.', '• Detail-oriented and able to meet deadlines.']","['Proven experience as a Full Stack Developer or similar role', 'Experience developing desktop and mobile applications', 'Familiarity with common stacks', 'Knowledge of multiple front-end languages and libraries (e.g. HTML/ CSS, JavaScript, XML, jQuery)', 'Knowledge of multiple back-end languages (e.g. C#, Java, Python) and JavaScript frameworks (e.g. Angular, React, Node.js)', 'Familiarity with databases (e.g. MySQL, MongoDB), web servers (e.g. Apache) and UI/UX design', 'Excellent communication and teamwork skills', 'Great attention to detail', 'Organizational skills', 'An analytical mind', 'Degree in Computer Science, Statistics or relevant field']",unknown
